"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"32",32,223.110302608666,26.2603471451839,89.3458937782746,41.38455843207,40.8752938068189,40.752272409677,24.0924209527028,37.7510885625184,16.3687753555331,34.9990833161408,11.9855259404164,32.7723881505789,9.13582497281339,31.0081183583431,7.1161567257842,29.612168564509,5.60550720855191,28.5059068429824,4.43784475199404,27.6291987313109
"33",33,209.142823148693,30.8062837860953,70.2396689166043,43.012870872199,32.392741487772,40.3804198972342,19.8157539725338,36.7730492514634,13.9136091021248,33.8220212827853,10.4546880454181,31.5265630513581,8.13014254679503,29.740997182484,6.43213974598718,28.3422849687789,5.12870798731582,27.2404015671279,4.09927275647736,26.3703528893369
"34",34,186.542256160994,35.7088827585343,54.0755046077661,43.883437137805,25.7909647563385,39.6694314052713,16.4920477991719,35.6630824856771,11.9904670908255,32.6015066018184,9.24962183604019,30.2798352806364,7.33818559037979,28.4957458699373,5.89555231878684,27.1074722579797,4.75736893382879,26.0180895538665,3.8381346159933,25.159934514048
"35",35,157.238551845539,40.584654175373,41.1604154578194,44.0622842880647,20.7180286348328,38.7090727422851,13.9088847488103,34.4680856224129,10.4794875887863,31.3623385637479,8.29877594721348,29.045920542208,6.71475199115677,27.2800656481703,5.47652757327438,25.9119121660077,4.47106621098315,24.8409627271344,3.64008938324704,23.9985050039401
"36",36,124.87153971777,44.936893716292,31.2562792762104,43.6727920009787,16.8418775867745,37.5755947826733,11.8965353942297,33.2240939717265,9.28877272920244,30.1228828732946,7.54807526905268,27.834670101858,6.22591363808874,26.0992412408917,5.15276007339521,24.7582238591607,4.25462356220396,23.7099801798752,3.49454022711001,22.8859364570218
"37",37,93.7324565764523,48.3013881389645,23.8570452959081,42.8542013844842,13.8818174283291,36.3296586111197,10.3233263743171,31.958140883016,8.34848114545874,28.8965433425883,6.95670847268248,26.6530347817831,5.84618014585213,24.9567708008326,4.90758021417761,23.6478858535924,4.09677787131789,22.6253582112141,3.39369001669056,21.8216154597548
"38",38,67.2048702285642,50.4137264983342,18.4047081195936,41.7338659388096,11.614964033264,35.0174973686368,9.08884846266267,30.690148157517,7.60575490190519,27.6929584227234,6.49387623832766,25.5058004355831,5.55639839541846,23.8548340387513,4.72855728979093,22.581545457635,3.98922277707804,21.5867813675038,3.33187003469037,20.8045904853009
"39",39,46.7653648036883,51.2810881204763,14.4046535304519,40.4152722631752,9.87068711520051,33.6733494726766,8.11723709619182,29.4345788555415,7.02064733956737,26.5189363558592,6.13633637211158,24.3961419251921,5.34220845874323,22.7946392983897,4.60648743386466,21.5592463161417,3.92592253334315,20.5935567790436,3.30506212540865,19.8336791526578
"40",40,32.1366498295843,51.1152125079367,11.4639042936431,38.9766766443064,8.52103357058468,32.3220610958083,7.35140996146033,28.2017773681614,6.56297580773166,25.3791696380411,5.86657431618637,23.3260377619673,5.1929130017533,21.776681048344,4.5346609482486,20.5805963975735,3.90261995400649,19.644727648692,3.31055913274082,18.9075467367999
"41",41,22.1372629421777,50.2021235678722,9.28843624502569,37.4746677028256,7.4710666080229,30.9813754086858,6.74846368300051,26.9990113268285,6.20994220573017,24.2767740324938,5.67144983909614,22.2965798079017,5.10065150059415,20.8009314060778,4.50833287014089,19.6448926044706,3.91648488367971,18.7391571723702,3.34672544401662,18.0247639514871
